key,name,notes,money,kind,key:sponsorship
#base entity
donation-00,Lorem ipsum dolor sit amet  consectetu,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,EUR 500000.00,ALTRUIST,sponsorship-00
#name- errata
donation-01,,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,EUR 500000.00,ALTRUIST,sponsorship-00
donation-02,Lorem ipsum dolor sit amet consectetur adipiscing elit Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua Ut enim ad minim veniam Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur Excepteur sint occaecat cupidatat non proident sunt in culpa qui officia deserunt mollit anim id est laborum  Curabitur pretium tincidunt lacus Nulla gravida orci a odio Nullam varius turpis et commodo pharetra est eros bibendum elit nec luctus magna felis sollicitudin mauris Integer in mauris eu nibh euismod gravi  Quismodo locandi mollis tenor est Summun gratia per dilum dolorum cornemino sactiterum robelimos Donc tut minima portallis gravi non sequiturimus Tallis venetia roma ladico Nun summa estis tripoli decantur tutis,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,EUR 500000.00,ALTRUIST,sponsorship-00
#notes- standard variations
donation-03,Lorem ipsum dolor sit amet  consectetu,,EUR 500000.00,ALTRUIST,sponsorship-00
donation-04,Lorem ipsum dolor sit amet  consectetu,Lorem ipsum dolor sit amet consectetur adipiscing elit Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua Ut enim ad minim veniam Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur Excepteur sint occaecat cupidatat non proident sunt in culpa qui officia deserunt mollit anim id est laborum  Curabitur pretium tincidunt lacus Nulla gravida orci a odio Nullam varius turpis et commodo pharetra est eros bibendum elit nec luctus magna felis sollicitudin mauris Integer in mauris eu nibh euismod gravi  Quismodo locandi mollis tenor est Summun gratia per dilum dolorum cornemino sactiterum robelimos Donc tut minima portallis gravi non sequiturimus Tallis venetia roma ladico Nun summa estis tripoli decantur tutis,EUR 500000.00,ALTRUIST,sponsorship-00
#money- standard variations
donation-05,Lorem ipsum dolor sit amet  consectetu,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,,ALTRUIST,sponsorship-00
donation-06,Lorem ipsum dolor sit amet  consectetu,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,EUR 5000000.00,ALTRUIST,sponsorship-00
donation-07,Lorem ipsum dolor sit amet  consectetu,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,EUR -0.01,ALTRUIST,sponsorship-00
donation-08,Lorem ipsum dolor sit amet  consectetu,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,EUR 1000000.01,ALTRUIST,sponsorship-00
#kind- standard variations
donation-09,Lorem ipsum dolor sit amet  consectetu,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,EUR 500000.00,,sponsorship-00
#auditReport- standard variations
donation-10,Lorem ipsum dolor sit amet  consectetu,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,EUR 500000.00,ALTRUIST,
