key,key:userAccount,address,im,gold
#address- errata
sponsor-00,user-account-sponsor-00,,Lorem ipsum dolor sit amet  consectetu,FALSE
sponsor-01,user-account-sponsor-01,Lorem ipsum dolor sit amet consectetur adipiscing elit Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua Ut enim ad minim veniam Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur Excepteur sint occaecat cupidatat non proident sunt in culpa qui officia deserunt mollit anim id est laborum  Curabitur pretium tincidunt lacus Nulla gravida orci a odio Nullam varius turpis et commodo pharetra est eros bibendum elit nec luctus magna felis sollicitudin mauris Integer in mauris eu nibh euismod gravi  Quismodo locandi mollis tenor est Summun gratia per dilum dolorum cornemino sactiterum robelimos Donc tut minima portallis gravi non sequiturimus Tallis venetia roma ladico Nun summa estis tripoli decantur tutis,Lorem ipsum dolor sit amet  consectetu,FALSE
#im- errata
sponsor-02,user-account-sponsor-02,Lorem ipsum dolor sit amet  consectetu,,FALSE
sponsor-03,user-account-sponsor-05,Lorem ipsum dolor sit amet  consectetu,Lorem ipsum dolor sit amet consectetur adipiscing elit Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua Ut enim ad minim veniam Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur Excepteur sint occaecat cupidatat non proident sunt in culpa qui officia deserunt mollit anim id est laborum  Curabitur pretium tincidunt lacus Nulla gravida orci a odio Nullam varius turpis et commodo pharetra est eros bibendum elit nec luctus magna felis sollicitudin mauris Integer in mauris eu nibh euismod gravi  Quismodo locandi mollis tenor est Summun gratia per dilum dolorum cornemino sactiterum robelimos Donc tut minima portallis gravi non sequiturimus Tallis venetia roma ladico Nun summa estis tripoli decantur tutis,FALSE
#gold- errata
sponsor-04,user-account-sponsor-04,Lorem ipsum dolor sit amet  consectetu,Lorem ipsum dolor sit amet  consectetu,
#userAccount- errata
sponsor-05,,Lorem ipsum dolor sit amet  consectetu,Lorem ipsum dolor sit amet  consectetu,FALSE
